Date,Price,Volume,Market cap,Coin
2024-09-13,1.000777555,50561943685,118410362296,USDT
2024-09-12,0.9999720171,49496227393,118382249277,USDT
2024-09-11,1.000136948,53910355372,118393661761,USDT
2024-09-10,1.000016904,44958459857,118367165716,USDT
2024-09-09,1.000144802,53645369813,118213349441,USDT
2024-09-08,0.9999346108,32754298136,118212522815,USDT
2024-09-07,0.9998500565,34349157560,118183301980,USDT
2024-09-06,0.9997416394,76063648537,118110992248,USDT
2024-09-05,0.999754353,47219392114,118123412031,USDT
2024-09-04,1.000019279,57499396611,118144833383,USDT
2024-09-03,0.9997512423,43284063635,118108714817,USDT
2024-09-02,0.9998954485,45617837521,118213094420,USDT
2024-09-01,1.000005783,40816634044,118233284750,USDT
2024-08-31,0.9998844109,24536311364,118214928566,USDT
2024-08-30,0.9998932726,53462688174,118213225145,USDT
2024-08-29,1.000158936,51557558279,118118434662,USDT
2024-08-28,1.000149715,69866785923,118058608837,USDT
2024-08-27,1.000326715,65120597214,118077598988,USDT
2024-08-26,1.000202128,51030197598,117883309512,USDT
2024-08-25,1.000545276,40361519650,117924482898,USDT
2024-08-24,1.000411915,46227369084,117909039091,USDT
2024-08-23,1.000839325,66435913915,117771678648,USDT
2024-08-22,1.000228475,45673020568,117451307682,USDT
2024-08-21,1.000306451,53113473486,117319442909,USDT
2024-08-20,1.000045552,53591125880,117302674602,USDT
2024-08-19,1.000526133,46796006984,116948334578,USDT
2024-08-18,1.000641518,34966981759,116930616831,USDT
2024-08-17,1.000209474,27396981274,116841598027,USDT
2024-08-16,1.000291238,49001060836,116746696274,USDT
2024-08-15,1.000236883,56751936622,116557615011,USDT
2024-08-14,1.000289619,52144724490,116218305086,USDT
2024-08-13,1.000265528,51440569199,115674781297,USDT
2024-08-12,1.000180484,63275431596,115669017013,USDT
2024-08-11,1.000045428,41909131618,115644012878,USDT
2024-08-10,1.000210575,31042565436,115681668414,USDT
2024-08-09,1.000577971,55251256632,115470949574,USDT
2024-08-08,1.000278751,73383041658,115069595825,USDT
2024-08-07,1.000273427,72320106597,114560688936,USDT
2024-08-06,1.000573496,81396416579,114465754318,USDT
2024-08-05,1.000364667,188926094526,114575013675,USDT
2024-08-04,0.999680481,58452540746,114482501638,USDT
2024-08-03,0.9995991403,54276527600,114493483482,USDT
2024-08-02,0.9986746808,67773726855,114347643174,USDT
